"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1","A00000","TERMINALBUS","","42.3446209999987","13.40114999999855","","","0","","",""
"2","A00001","TERMINALBUS 1","","42.34447099999871","13.40110999999855","","","0","","",""
"3","A00002","TERMINALBUS 2","","42.344400999998705","13.401299999998551","","","0","","",""
"4","A00070","VALE CRISPI lato Emiciclo Regionale","","42.34573601633166","13.397401998311812","","","0","","",""
"5","A00080","VIALE CRISPI lato Parco della Memoria","","42.3453250196938","13.39702395527654","","","0","","",""
"6","A00100","VIALE CRISPI lato via Piave","","42.34409049560432","13.396456584820116","","","0","","",""
"7","A00110","VIALE CRISPI lato Cristo Re","","42.34398546556318","13.396287596654393","","","0","","",""
"8","A00120","VIALE CRISPI Porta Napoli fro XXIV Maggio","","42.342343915940525","13.395375641320602","","","0","","",""
"9","A00130","VIALE CRISPI Porta Napoli lat XXIV Maggio","","42.34216747708171","13.395413148437365","","","0","","",""
"10","A00140","VIALE COLLEMAGGIO lato Emiciclo Regione","","42.344144009604534","13.397797655874404","","","0","","",""
"11","A00150","VIALE COLLEMAGGIO fronte Emiciclo Regione","","42.344032978737765","13.398114170535088","","","0","","",""
"12","A00160","VIA CALDORA fronte Collemaggio","","42.34359691485727","13.401901451496043","","","0","","",""
"13","A00170","VIA CALDORA lato Collemaggio","","42.34416185136857","13.402121319295647","","","0","","",""
"14","A00180","Via Strinella Porta Bazzano lato Porta","","42.34670923684995","13.402703390360157","","","0","","",""
"15","A00190","Via Strinella Porta Bazzano fronte Porta","","42.34680049178379","13.403293532352306","","","0","","",""
"16","A00200","Via Strinella fronte traversa Via Teramo","","42.34820397602384","13.40513884164645","","","0","","",""
"17","A00210","Via Strinella lato traversa Via Teramo","","42.34791850471563","13.40479021746108","","","0","","",""
"18","A00220","VIA STRINELLA fronte Parco Unicef","","42.35024180090732","13.406219833853381","","","0","","",""
"19","A00230","VIA STRINELLA lato Parco Unicef","","42.3500296305465","13.406045386314922","","","0","","",""
